task_id,family,candidate_id,shape,normalized_mse,mean_restart_error,restart_std,centered_cut_bound,centered_cut_sum,full_cut_bound,pilot_error,optimization_gap_above_bound
matching_016,quadratic_matching,comb_p1,comb,0.75,0.7500000000003473,6.946696309468393e-13,0.4999999999999999,1.5,0.25,0.7506228688546295,0.2500000000000001
matching_016,quadratic_matching,comb_p2,comb,0.75,0.7500000000000013,2.6029146650812514e-15,0.75,2.5,0.5,0.7506469213050995,0.0
matching_016,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.75,2.75,0.5,0.7501900217086617,0.0
matching_016,quadratic_matching,mixed_p0,mixed,0.5,0.5,0.0,0.25,1.5,0.25,0.5000000195695959,0.25
matching_016,quadratic_matching,mixed_p1,mixed,0.5,0.5,0.0,0.25,1.5,0.25,0.5000000195695959,0.25
matching_016,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.7500000107867306,0.0
matching_016,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.7500000000000029,0.0
matching_017,quadratic_matching,balanced_p0,balanced,0.5,0.5,0.0,0.25,1.0,0.25,0.5,0.25
matching_017,quadratic_matching,balanced_p1,balanced,0.5,0.5625,0.12499999999999999,0.5,2.0,0.5,0.4999999999999999,0.0
matching_017,quadratic_matching,balanced_p2,balanced,0.5,0.5625,0.125,0.5,1.75,0.5,0.5000000000000011,0.0
matching_017,quadratic_matching,balanced_p3,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_017,quadratic_matching,comb_p0,comb,0.75,0.7500463489519654,8.513368277627694e-05,0.4999999999999999,1.5,0.25,0.7502729211338954,0.2500000000000001
matching_017,quadratic_matching,comb_p1,comb,0.75,0.75,0.0,0.5,2.25,0.5,0.7500144830972348,0.25
matching_017,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,2.5,0.5,0.7500270535221016,0.0
matching_017,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500016109125283,0.0
matching_017,quadratic_matching,mixed_p0,mixed,0.4999999999999999,0.5625,0.125,0.25,1.5,0.25,0.5,0.2499999999999999
matching_017,quadratic_matching,mixed_p1,mixed,0.4999999999999999,0.5,5.551115123125783e-17,0.5,1.75,0.5,0.5,-1.1102230246251565e-16
matching_017,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.75,0.0
matching_017,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.75,0.0
matching_018,quadratic_matching,balanced_p0,balanced,0.5,0.5625,0.125,0.5,1.75,0.5,0.5,0.0
